aX,aY,aZ,gX,gY,gZ
1148.8,-2083.9,-1838.9,-859,-1793,568
1537.2,-1949.9,-1634.9,-1284,-2320,1021
1824.6,-1587.0,-1361.3,-1514,-2679,1960
1934.4,-1053.3,-1034.1,-1418,-2787,3114
1818.2,-225.9,-663.4,-740,-2631,4321
1535.9,692.5,-367.0,383,-2111,5178
1369.0,1659.7,-31.6,1775,-1504,5336
1404.3,2704.6,624.4,2953,-35,7
184.7,-1271.8,2062.4,-265,176,-344
133.0,-1692.1,2246.9,-231,220,-656
-14.5,-1995.1,2336.5,-48,-19,-823
-243.3,-2088.4,2313.9,270,-335,-1005
-495.4,-1863.9,2153.2,582,-671,-1373
-648.4,-1446.7,1893.4,827,-863,-1947
-627.7,-913.7,1575.9,914,-891,-2555
-495.9,-316.7,1183.0,754,-849,-2852
-454.8,259.4,664.9,429,-938,-2684
-480.6,795.9,10.6,268,-1199,-2258
-531.8,1296.4,-604.4,497,-1541,-1785
-612.7,1787.7,-1135.0,1030,-1854,-1372
-542.8,2102.5,-1368.8,1799,-2166,-1157
-331.6,2461.2,-1284.8,2547,-2459,-1121
-51.1,2687.2,-864.6,3087,-2547,-1218
239.0,2957.9,-441.9,3066,-2309,-1285
468.6,3108.8,-74.3,2562,-1810,-1203
706.3,3014.4,210.2,1745,-1260,-960
836.2,2744.4,286.0,743,-827,-468
818.4,2304.9,143.2,-151,-516,110
700.4,1868.9,-82.7,-684,-192,603
485.9,1592.3,-249.0,-862,241,958
278.4,1466.7,-288.0,-873,694,1032
115.4,1454.2,-241.6,-879,1143,861
-15.5,1521.3,-198.6,-931,1625,613
-118.0,1574.4,-146.0,-1020,1980,410
-231.7,1645.4,-128.7,-1116,2093,358
-295.1,1660.7,-104.4,-1101,1993,433
-304.0,1646.5,-53.9,-1029,1812,573
-263.6,1561.2,55.4,-1023,1777,733
-273.9,1469.7,126.9,-1155,1891,895
-334.8,1329.4,161.9,-1300,2001,985
-325.9,1129.1,184.1,-1363,1978,993
-288.0,993.1,216.9,-1255,1922,1010
-235.2,880.7,328.7,-1025,1840,1062
-160.4,831.8,445.8,-836,1717,1150
-140.9,759.6,574.9,-696,1646,1224
-133.3,612.2,742.2,-581,1549,1285
-159.5,505.0,887.9,-530,1369,1314
-157.9,390.5,1014.4,-486,1149,1288
-144.0,285.5,1110.0,-457,960,1247
-150.3,188.2,1168.0,-430,773,1188
-137.5,87.7,1238.9,-410,628,1049
-71.9,-5.4,1286.9,-477,588,805
-39.2,-58.8,1262.0,-592,652,592
9.8,-198.6,1263.6,-568,610,526
31.6,-293.7,1237.3,-457,419,608
54.9,-390.2,1248.7,-235,222,780
66.5,-462.6,1308.8,-20,41,964
52.9,-491.7,1362.6,52,-71,1037
50.1,-523.5,1405.8,-7,-58,961
38.9,-522.9,1405.4,-194,61,786
0.1,-520.6,1365.4,-367,229,624
-17.8,-524.4,1334.1,-407,294,535
-43.9,-520.5,1297.6,-303,247,566
-79.9,-523.1,1295.6,-71,146,670
-139.8,-481.2,1305.3,209,50,766
-210.4,-397.0,1311.6,484,-51,802
-256.1,-277.3,1323.2,706,-164,728
-246.7,-134.9,1332.2,810,-230,537
-189.7,23.2,1325.4,746,-225,277
-103.7,142.0,1287.5,499,-164,27
-13.2,232.2,1207.7,139,-102,-153
48.4,277.3,1101.4,-185,-42,-231
79.3,283.3,980.9,-363,-66,-249
116.6,280.7,876.2,-371,-111,-238
149.9,267.4,794.8,-248,-111,-211
179.5,301.3,751.3,-60,-107,-175
197.4,332.7,759.3,141,-122,-131
210.0,368.8,779.1,282,-131,-83
197.5,412.6,815.8,346,-98,-54
182.4,455.1,849.2,337,-53,-56
160.2,502.0,877.3,261,-11,-81
160.3,527.3,902.2,149,31,-114
145.3,536.1,890.7,38,84,-119
138.1,528.4,882.3,-18,109,-113
121.6,514.2,871.0,-36,119,-98
102.4,501.8,862.3,-7,143,-96
94.6,493.0,865.0,67,134,-97
85.6,494.1,881.7,147,99,-79
71.9,502.9,906.6,216,65,-57
83.9,514.4,940.3,233,13,-29
83.9,534.0,964.0,178,-9,6
79.5,543.0,982.1,63,-26,34
39.2,536.1,953.3,-51,-54,41
83.2,505.7,948.1,-117,-151,14
58.4,499.6,916.2,-191,-77,-24
50.4,476.8,900.7,-209,-5,-113
79.4,473.1,897.8,-175,9,-180
95.5,469.8,893.2,-105,18,-185
108.8,462.7,893.4,-13,-9,-145
117.4,468.2,894.4,70,-45,-83
123.6,467.9,907.8,119,-81,-28
119.4,470.6,918.8,122,-104,16
111.5,474.3,922.6,82,-111,32
104.8,473.5,922.3,17,-91,10
103.9,464.7,914.3,-48,-64,-44
116.3,453.8,911.7,-112,-42,-97
126.3,448.0,903.0,-151,-20,-124
137.1,444.2,893.3,-147,-13,-122
143.6,438.8,880.8,-118,-3,-98
141.8,442.0,885.1,-72,16,-70
128.7,442.9,877.1,-23,20,-45
8.1,-941.6,2001.5,114,-407,405
-175.1,-1449.7,2164.3,40,-397,269
-236.4,-1986.9,2292.3,30,-410,28
-246.8,-2546.6,2415.8,173,-456,-286
-314.5,-2900.4,2433.7,478,-619,-597
-511.4,-2840.2,2308.2,827,-929,-994
-792.9,-2522.5,2109.7,1227,-1246,-1508
-1013.6,-2012.0,1785.3,1422,-1493,-2140
-1032.5,-1293.7,1429.4,1396,-1501,-2879
-924.2,-507.5,1005.9,1083,-1154,-3435
-901.8,265.8,450.5,636,-707,-3626
-1042.4,1001.3,-230.8,385,-700,-3531
-890.2,1833.8,-881.9,539,-1341,-3208
-594.1,2319.7,-1236.1,990,-2056,-2479
-538.3,2538.1,-1461.4,1360,-2651,-1216
-710.4,3007.9,-1635.0,1690,-3296,-70
-546.6,3380.6,-1494.0,2211,-3795,241
-225.6,3832.0,-1091.7,2438,-3411,-275
178.9,3996.2,-534.1,1919,-1857,-1132
728.6,3946.5,-17.7,822,-126,-1872
1130.7,3531.2,145.8,-551,1236,-1890
1095.7,2999.7,-35.1,-1456,1799,-1285
989.8,2489.2,-185.9,-1663,1436,-338
775.8,2095.1,-304.6,-1461,710,878
422.6,1861.2,-358.8,-1039,209,1969
43.3,1715.0,-287.4,-550,139,2491
-179.1,1592.6,-127.9,-261,430,2314
-232.5,1572.5,-26.1,-304,1016,1734
-216.6,1587.3,71.6,-495,1731,1115
-162.1,1553.1,160.9,-724,2212,739
-111.1,1516.1,215.9,-982,2266,710
-81.7,1456.2,249.1,-1151,1992,946
-80.3,1353.2,274.4,-1193,1635,1263
-93.1,1189.6,300.2,-1114,1396,1466
-142.0,970.8,356.0,-959,1384,1433
-185.8,769.1,443.5,-769,1478,1170
-130.9,624.9,559.7,-589,1537,813
-85.0,541.4,655.5,-510,1561,568
-116.3,421.3,750.1,-468,1469,434
-79.8,243.9,844.5,-455,1234,363
-37.7,86.7,910.2,-402,1016,452
-85.2,-37.8,970.1,-224,743,681
-117.5,-97.4,1080.1,57,380,893
-111.0,-121.5,1212.6,306,136,971
-94.3,-99.8,1353.8,379,82,886
-77.7,-64.4,1429.2,210,150,697
-46.2,-80.3,1426.5,-59,205,498
6.2,-86.9,1366.5,-305,164,375
65.0,-114.4,1309.3,-417,92,381
63.0,-151.2,1276.4,-412,0,507
50.3,-133.5,1229.0,-364,-177,682
65.0,-156.9,1218.0,-256,-343,834
78.4,-190.2,1195.8,-113,-428,945
70.3,-198.7,1137.0,80,-485,1040
94.4,-179.9,1135.2,363,-562,1167
102.1,-137.4,1169.5,585,-653,1312
69.2,-76.7,1181.8,655,-690,1380
28.4,3.9,1224.8,588,-626,1279
1.6,55.5,1245.0,342,-471,1001
-8.8,119.7,1229.6,1,-265,613
34.6,175.1,1180.8,-343,-34,228
94.7,195.9,1114.3,-594,141,-36
132.9,207.8,1028.9,-676,189,-120
151.6,209.1,966.4,-583,139,-82
162.0,216.1,937.3,-384,46,10
171.9,239.5,932.1,-155,-48,113
146.3,281.7,941.0,44,-117,190
127.6,307.0,955.4,181,-199,204
135.4,346.5,971.0,239,-276,162
157.4,384.4,972.5,219,-276,89
168.4,416.4,963.3,140,-235,-2
183.9,449.0,934.6,18,-189,-127
221.8,456.9,917.8,-101,-93,-261
244.9,450.4,895.0,-195,0,-340
276.7,434.7,869.5,-238,67,-354
284.9,418.1,842.5,-223,111,-290
281.5,392.8,819.4,-139,101,-177
263.2,378.7,815.6,-16,84,-50
210.2,380.8,812.2,115,85,41
177.3,400.6,834.7,228,70,52
168.0,432.1,875.0,274,54,-1
159.8,471.2,891.1,251,63,-72
174.2,483.2,904.0,197,77,-148
184.1,497.9,906.6,133,96,-191
204.7,519.2,920.0,68,91,-197
213.5,539.4,920.1,-13,62,-161
223.5,547.7,897.4,-72,26,-114
223.3,541.2,870.8,-76,12,-70
222.0,527.7,853.8,-24,-7,-25
226.9,516.3,860.3,60,-51,30
221.8,513.9,861.0,139,-91,79
213.3,503.7,869.5,184,-97,90
205.7,493.1,868.4,181,-78,73
192.9,488.2,875.1,153,-47,40
187.5,489.1,878.6,98,-15,-20
193.6,497.4,885.6,16,30,-85
204.4,511.9,883.2,-59,46,-112
219.0,521.3,882.8,-93,34,-92
225.6,531.2,870.3,-94,25,-49
232.9,530.1,865.8,-70,18,5
222.3,523.5,857.8,-16,-1,55
219.8,512.4,852.0,48,-25,81
213.1,511.1,857.7,92,-24,83
205.4,504.7,859.2,111,-19,66
-166.9,-1010.8,1999.9,105,-515,-491
-203.6,-1165.6,2090.2,449,-856,-462
-169.1,-1316.4,2202.7,741,-1185,-560
-38.9,-1462.5,2283.6,872,-1480,-777
74.2,-1546.8,2265.7,814,-1743,-987
74.9,-1588.8,2142.9,580,-1998,-1044
-20.9,-1492.5,1871.1,173,-2236,-954
-251.9,-1282.0,1434.7,-357,-2330,-823
-532.0,-872.1,813.5,-872,-2209,-862
-812.2,-350.5,113.8,-1101,-1831,-1278
-993.1,226.8,-500.3,-938,-1270,-2035
-1055.4,1115.7,-1181.9,-428,-759,-2927
-843.1,1764.6,-1541.8,619,-334,-3840
-603.7,2210.8,-1564.2,1660,-154,-4155
-362.7,2822.7,-1444.6,2431,-408,-3617
79.5,3546.1,-1108.9,2878,-934,-2683
389.7,3945.1,-611.1,2829,-1180,-1801
522.8,3996.5,-139.9,2141,-979,-1135
672.5,3972.3,231.1,1112,-504,-888
878.9,3539.1,316.8,-10,-40,-761
1015.3,2827.0,192.9,-860,212,-405
962.3,2189.0,-91.9,-1339,209,290
690.4,1693.5,-320.2,-1291,80,1075
350.3,1396.3,-371.0,-907,-51,1547
132.5,1234.2,-251.7,-490,-21,1590
-27.6,1193.5,-91.1,-238,347,1349
-128.5,1207.3,53.7,-165,925,935
-182.0,1219.3,164.8,-231,1414,523
-217.4,1226.8,230.7,-278,1646,309
-236.2,1250.9,273.6,-206,1588,321
-206.9,1213.9,318.1,-39,1272,467
-130.7,1159.6,344.8,141,937,728
-94.9,1115.0,374.3,369,761,1030
-101.5,1073.6,404.2,562,711,1216
-90.6,1033.3,466.9,687,754,1184
-10.0,1020.8,593.8,642,877,985
90.6,1003.5,702.1,327,1116,763
97.5,967.8,738.5,-128,1339,611
92.4,883.4,736.3,-529,1411,523
55.3,743.7,708.6,-745,1403,463
43.6,578.6,711.7,-705,1347,403
71.0,491.7,740.4,-525,1231,385
102.0,418.0,802.6,-281,1040,441
161.7,345.7,881.0,-25,790,563
188.4,300.1,939.3,164,573,677
182.5,269.5,978.8,310,435,808
157.0,265.4,1047.4,455,288,909
136.2,330.1,1119.3,431,225,929
119.7,365.6,1166.1,215,261,837
97.8,353.1,1174.7,-77,317,716
80.0,335.9,1130.8,-359,322,617
57.6,301.2,1056.4,-549,298,558
76.7,223.6,1031.3,-607,218,525
110.2,154.9,997.7,-600,180,504
133.0,105.2,963.2,-526,185,459
182.1,77.0,930.0,-393,168,409
244.1,72.5,937.6,-210,164,376
286.0,105.5,967.5,-68,188,391
286.8,194.6,976.6,-3,193,454
282.2,240.7,1009.8,34,177,513
253.2,272.7,1040.7,20,146,567
171.5,273.9,1054.4,-22,111,584
130.3,270.7,1038.2,-30,73,518
132.7,266.4,1071.3,-84,81,404
99.4,281.6,1057.1,-139,212,279
91.6,280.0,1061.8,-151,223,172
111.0,298.4,1058.6,-141,170,117
123.1,318.2,1048.7,-115,131,96
150.7,360.9,1042.6,-76,97,84
194.0,384.7,1064.1,-50,73,107
197.2,416.3,1055.7,-67,69,182
183.5,425.4,1033.5,-80,-13,264
179.7,437.4,1001.6,-93,-34,280
179.6,449.6,979.4,-105,10,224
171.8,450.3,957.5,-112,21,142
186.3,450.1,937.9,-102,10,69
199.0,458.6,917.3,-107,-6,22
226.2,460.1,909.8,-111,-7,5
243.4,455.1,888.4,-117,-17,32
238.5,451.5,862.4,-85,-39,90
233.9,449.9,833.6,-19,-35,135
221.1,453.5,823.3,52,-4,150
209.6,472.6,826.4,122,-11,142
216.1,484.5,839.2,174,-45,120
210.8,507.9,843.6,193,-54,102
197.5,522.6,852.3,188,-63,70
204.8,545.1,859.5,152,-66,13
225.8,557.1,871.7,80,-45,-43
250.0,571.0,864.4,-2,-21,-69
265.6,584.0,851.0,-61,-26,-49
263.2,587.6,842.9,-80,-60,4
249.6,586.7,829.4,-76,-79,39
240.6,591.1,824.8,-55,-60,32
244.4,585.8,813.9,-23,-27,11
240.2,581.0,810.4,14,7,-2
246.7,579.5,818.7,43,-22,-10
253.6,567.1,824.0,49,-39,-7
252.1,558.5,833.5,34,-31,2
245.1,556.8,836.9,13,-31,16
243.3,557.9,839.1,-15,-38,36
233.0,561.1,839.7,-44,-46,62
237.4,555.8,841.9,-69,-52,75
237.5,556.2,835.8,-96,-58,82
224.0,543.8,818.6,-95,-65,78
420.4,-562.9,1824.0,-38,-581,-908
424.9,-761.0,1822.4,118,-786,-726
303.0,-1009.8,1825.7,338,-1030,-433
144.4,-1285.0,1852.7,690,-1372,-88
-87.8,-1456.3,1852.3,1068,-1761,140
-407.2,-1465.2,1801.2,1303,-2124,67
-618.5,-1253.3,1669.2,1309,-2366,-453
-707.2,-928.7,1435.9,1048,-2310,-1283
-771.3,-545.6,1082.3,511,-2080,-2116
-765.2,-97.4,621.7,-128,-1895,-2752
-665.3,391.6,96.5,-773,-1627,-3073
-695.4,959.0,-575.4,-1258,-1341,-3116
-729.8,1513.0,-1224.6,-1212,-1201,-2903
-818.1,1946.5,-1738.9,-558,-1320,-2388
-775.9,2454.2,-2081.1,530,-1853,-1879
-339.4,2942.4,-2037.8,1805,-2349,-1810
217.2,3120.6,-1540.0,2909,-2071,-2072
496.5,3463.7,-898.7,3221,-1191,-2255
658.2,3620.0,-233.3,2579,-298,-2302
829.2,3443.2,239.4,1254,513,-2156
903.9,3040.0,399.3,-193,1183,-1723
836.6,2541.5,335.1,-1289,1465,-935
591.1,2068.6,113.6,-1818,1300,102
293.8,1660.7,-113.7,-1735,857,1030
67.0,1368.6,-196.3,-1279,529,1582
-109.9,1266.4,-183.5,-809,537,1714
-244.5,1257.2,-85.5,-502,799,1459
-318.7,1278.2,8.2,-409,1185,974
-324.2,1301.6,94.2,-462,1569,516
-364.0,1352.9,129.3,-591,1751,255
-348.1,1370.5,180.9,-724,1682,213
-308.3,1353.0,218.6,-912,1545,379
-303.4,1325.7,174.1,-982,1306,667
-289.0,1226.7,157.6,-864,1065,898
-221.4,1078.7,213.7,-654,892,1005
-171.8,995.3,260.0,-495,872,987
-155.7,917.2,306.5,-343,937,879
-100.9,870.7,390.6,-218,946,738
-38.3,842.2,470.2,-165,999,617
0.1,773.6,581.5,-157,1065,495
30.4,624.5,724.7,-153,1085,377
77.8,504.8,849.9,-163,1068,269
127.2,431.4,965.8,-161,1017,204
185.3,401.6,1056.9,-162,879,224
169.5,393.8,1095.4,-166,717,352
129.7,365.0,1111.5,-113,489,570
89.1,382.7,1071.5,-54,240,800
68.0,379.4,1053.0,18,101,950
66.5,355.0,1040.8,58,38,995
75.3,334.5,1009.7,82,-15,941
163.4,291.3,1017.1,105,-92,879
198.4,294.0,1013.0,106,-5,878
186.1,276.1,1046.6,139,77,872
189.0,300.2,1102.9,138,67,826
203.4,318.9,1157.5,41,97,723
201.9,322.4,1190.7,-127,153,619
189.8,333.5,1209.0,-332,146,557
175.7,343.4,1211.5,-552,110,500
162.1,345.0,1160.1,-763,100,409
181.3,322.6,1095.3,-894,166,300
196.4,286.9,1021.1,-900,274,221
226.6,263.4,977.6,-774,345,202
232.0,251.7,968.4,-568,415,264
175.8,250.2,973.2,-329,350,383
176.5,279.1,1007.6,-113,132,495
189.3,319.9,1025.3,7,36,572
185.7,337.6,1031.8,53,1,606
189.6,363.9,1024.3,62,-81,636
191.2,408.9,1019.6,24,-141,628
201.5,436.3,1012.5,-96,-121,536
217.4,437.5,994.5,-278,-18,355
240.9,437.1,964.2,-478,98,156
254.0,413.8,924.4,-632,189,12
256.2,390.6,896.1,-711,232,-67
255.5,374.2,869.4,-708,238,-88
249.7,352.9,849.7,-627,229,-55
225.9,357.6,825.6,-483,209,17
207.5,352.6,822.5,-278,177,99
192.3,360.8,838.8,-77,123,170
190.2,388.7,873.0,71,48,221
175.1,414.9,886.0,132,22,228
159.9,453.8,890.0,123,12,184
159.5,485.7,888.0,70,18,96
161.2,506.1,874.6,-9,51,-13
181.4,524.2,875.6,-70,96,-103
204.0,542.5,873.0,-113,161,-140
207.5,540.3,866.6,-133,185,-113
215.9,522.9,860.1,-119,153,-46
200.6,508.7,839.1,-57,128,41
177.6,481.0,843.9,55,62,116
174.3,475.2,867.4,149,-30,165
156.4,483.1,868.3,190,-59,182
135.8,500.2,877.1,195,-67,152
127.6,513.3,882.7,164,-65,81
128.7,531.8,889.3,98,-19,-22
147.0,552.2,887.8,0,36,-123
164.9,562.2,874.6,-88,48,-179
178.1,563.9,854.7,-135,35,-201
203.3,564.4,842.7,-142,50,-221
219.4,553.5,831.3,-140,81,-220
227.7,559.0,817.6,-125,129,-206
223.6,562.8,805.8,-88,132,-174
213.9,545.7,808.9,-31,56,-122
232.8,538.3,823.9,16,-46,-60
286.7,-975.3,2139.3,75,-208,-597
349.0,-1468.3,2325.4,434,-421,-367
262.4,-1823.4,2510.0,1077,-859,159
-42.1,-2041.8,2642.5,1856,-1413,848
-396.1,-2004.1,2659.0,2604,-2109,1434
-664.8,-1773.0,2539.7,3124,-2699,1599
-893.3,-1288.1,2284.6,3196,-3016,1295
-1074.1,-696.9,1883.1,2621,-3069,480
-1074.3,-154.0,1319.1,1456,-2775,-807
-1075.3,462.1,416.1,-11,-2234,-2261
-986.1,1145.5,-579.4,-1019,-1903,-3514
-682.3,1765.1,-1286.0,-1229,-1828,-4219
-496.1,2204.5,-1719.5,-985,-1909,-3898
-265.5,2780.5,-2083.0,-438,-2487,-2690
170.6,3229.7,-2180.0,450,-3144,-1380
557.4,3294.6,-1934.8,1363,-3153,-654
876.1,3409.3,-1539.9,1741,-2317,-575
1210.5,3190.1,-1090.1,1227,-678,-885
1111.9,2820.9,-812.9,100,1415,-1151
772.7,2380.1,-592.1,-800,2594,-1522
793.1,1963.3,-346.4,-1054,2247,-1603
869.5,1685.9,-160.8,-911,1429,-890
595.4,1559.3,-77.2,-805,792,150
220.8,1466.3,3.7,-660,355,731
14.8,1367.1,104.2,-577,187,743
-52.9,1314.8,118.5,-637,378,497
-45.1,1254.4,102.7,-702,727,210
-42.5,1188.5,88.7,-735,991,52
-66.1,1182.4,72.8,-697,1070,47
-122.0,1234.3,82.8,-593,975,131
-138.6,1292.3,106.4,-495,858,229
-139.6,1373.2,100.2,-442,761,328
-156.9,1422.2,87.0,-387,707,459
-157.5,1375.8,65.3,-334,603,576
-125.3,1371.0,38.2,-291,521,637
-23.3,1406.2,12.4,-274,568,632
12.3,1368.7,7.9,-262,667,595
72.5,1299.4,30.3,-253,829,593
116.6,1231.3,85.8,-253,942,678
103.6,1134.5,162.4,-193,945,910
73.8,999.1,275.6,-86,782,1188
36.0,861.3,406.1,-12,635,1404
-2.8,709.6,558.8,-2,626,1460
-16.8,588.2,716.1,-144,774,1310
4.5,461.3,817.8,-458,1057,994
9.5,365.9,841.6,-773,1289,664
84.4,273.9,880.7,-946,1245,460
164.0,213.4,912.1,-1013,1106,451
174.3,117.2,968.2,-865,905,558
178.9,89.3,995.9,-667,646,740
180.6,27.6,1062.5,-406,463,883
173.7,22.0,1121.2,-220,371,947
151.5,33.8,1163.1,-82,364,914
99.1,74.4,1222.8,4,407,781
76.5,105.8,1297.5,-30,483,541
61.9,122.1,1340.2,-157,530,276
83.8,145.9,1336.5,-287,495,93
156.2,133.7,1354.4,-358,436,23
186.1,125.7,1343.6,-401,384,86
173.4,120.9,1332.1,-398,254,228
133.3,93.9,1321.1,-345,122,367
91.4,69.1,1291.2,-263,-6,466
53.1,76.0,1233.2,-130,-105,521
61.1,76.1,1192.2,53,-170,510
94.2,112.0,1178.0,246,-227,478
142.5,182.1,1176.0,376,-293,471
177.8,256.4,1167.1,400,-350,470
204.4,321.8,1161.0,329,-403,437
237.2,399.4,1141.3,150,-401,327
277.9,454.0,1098.1,-129,-306,144
317.2,480.8,1015.4,-426,-200,-44
344.3,474.6,913.9,-613,-161,-189
381.7,454.3,840.2,-653,-151,-282
409.8,420.9,778.8,-571,-94,-290
390.3,394.8,741.6,-370,-67,-220
369.4,400.6,741.8,-93,-80,-120
337.0,423.6,781.2,159,-86,-43
303.3,485.6,823.6,314,-100,5
300.6,560.8,879.9,332,-85,11
285.4,623.9,910.9,200,-52,-11
277.2,673.7,924.0,-50,-25,-77
265.7,703.3,909.0,-372,45,-205
249.9,705.4,854.0,-713,156,-402
256.0,659.4,792.0,-971,301,-628
271.0,594.9,738.8,-1081,418,-797
308.9,538.9,699.9,-1043,466,-861
331.7,492.8,668.0,-865,447,-773
348.1,460.8,649.8,-556,324,-539
363.4,458.4,684.7,-155,177,-192
327.2,474.1,732.7,226,13,191
277.1,501.3,783.5,507,-137,486
227.2,547.2,836.3,640,-210,609
188.4,589.5,892.8,589,-199,545
168.8,629.2,937.4,352,-117,327
176.8,630.9,941.5,-6,15,29
191.7,600.2,896.0,-324,143,-227
